date,team_1,team_1_goals,team_2_goals,team_2,team_1_1h_goals,team_2_1h_goals,team_1_2h_goals,team_2_2h_goals,team_1_yellow,team_2_yellow,team_1_red,team_2_red,team_1_1h_corners,team_2_1h_corners,team_1_2h_corners,team_2_2h_corners,team_1_match_corners,team_2_match_corners,team_1_total_corners,team_1_xg,team_2_xg,team_1_shots,team_2_shots,team_1_shots_on_target,team_2_shots_on_target,team_1_fouls,team_2_fouls
2026-07-02,Portugal,2.0,1.0,Croatia,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,3.0,5.0,9.0,5.0,14.0,2.2,1.34,15.0,13.0,3.0,6.0,6.0,12.0
2026-07-02,Switzerland,2.0,0.0,Algeria,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,6.0,2.52,0.73,11.0,8.0,5.0,2.0,10.0,12.0
2026-07-03,Australia,1.0,,Egypt,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0,7.0,11.0,0.84,1.32,16.0,14.0,1.0,3.0,12.0,14.0
2026-07-03,Argentina,3.0,2.0,Cape Verde,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,8.0,16.0,2.26,0.47,22.0,16.0,10.0,5.0,13.0,12.0
2026-07-03,Colombia,1.0,0.0,Ghana,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,2.0,5.0,2.04,0.27,20.0,8.0,8.0,0.0,14.0,10.0
2026-07-04,Canada,0.0,3.0,Morocco,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,5.0,0.0,6.0,1.0,11.0,1.0,12.0,0.84,0.82,10.0,5.0,3.0,4.0,24.0,14.0
2026-07-04,Paraguay,0.0,1.0,France,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,5.0,2.0,12.0,14.0,0.13,1.45,5.0,15.0,0.0,5.0,13.0,11.0
2026-07-05,Brazil,1.0,2.0,Norway,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,5.0,5.0,10.0,2.61,1.05,14.0,9.0,4.0,5.0,7.0,6.0
2026-07-05,Mexico,2.0,3.0,England,1.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,4.0,2.0,8.0,0.0,12.0,2.0,14.0,1.88,1.61,20.0,6.0,5.0,5.0,14.0,7.0
2026-07-06,Portugal,0.0,1.0,Spain,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,5.0,3.0,7.0,10.0,0.63,1.69,10.0,15.0,2.0,6.0,9.0,13.0
